glottolog_name,Glottocode,asjp_id,tip_name
Ngadjunmaya,ngad1258,NGADJUNMAYA,Aus.PAMA_NYUNGAN.NGADJUNMAYA
Nyunga,nyun1247,NYOONGAR,Aus.PAMA_NYUNGAN.NYOONGAR
Nyunga,nyun1247,NYUNGA_NORTHERN,Aus.PAMA_NYUNGAN.NYUNGA_NORTHERN
Nyunga,nyun1247,NYUNGA_SOUTH_WESTERN,Aus.PAMA_NYUNGAN.NYUNGA_SOUTH_WESTERN
Nyunga,nyun1247,NYUNGA_EASTERN,Aus.PAMA_NYUNGAN.NYUNGA_EASTERN
Dhargari,dhar1247,DHARGARI,Aus.PAMA_NYUNGAN.DHARGARI
Martuthunira,mart1255,MARTUTHUNIRA,Aus.PAMA_NYUNGAN.MARTUTHUNIRA
Panytyima,pany1241,PANYTYIMA,Aus.PAMA_NYUNGAN.PANYTYIMA
Ngarluma,ngar1287,NGALOOMA,Aus.PAMA_NYUNGAN.NGALOOMA
Kurrama,kurr1243,KURRAMA,Aus.PAMA_NYUNGAN.KURRAMA
Yindjibarndi,yind1247,YINDJIBARNDI,Aus.PAMA_NYUNGAN.YINDJIBARNDI
Wirangu,wira1265,WIRANGU,Aus.PAMA_NYUNGAN.WIRANGU
Kaurna,kaur1267,KAURNA,Aus.PAMA_NYUNGAN.KAURNA
Narungga,naru1238,NARUNGGA,Aus.PAMA_NYUNGAN.NARUNGGA
Nugunu (Australia),nugu1241,NUGUNU_AUSTRALIA,Aus.PAMA_NYUNGAN.NUGUNU_AUSTRALIA
Adnyamathanha,adny1235,ADNYAMATHANHA,Aus.PAMA_NYUNGAN.ADNYAMATHANHA
Banggarla,bang1339,BANGGARLA,Aus.PAMA_NYUNGAN.BANGGARLA
Kaytetye,kayt1238,KAYTETYE,Aus.PAMA_NYUNGAN.KAYTETYE
Kaytetye,kayt1238,KAYTETYE_2,Aus.PAMA_NYUNGAN.KAYTETYE_2
