entry_id,violent_external,food_taboos,year_scaled,world_region,tip_name,ID,Glottocode
1390,1,1,0.64007084140217,North America,NDe.ATHAPASKAN.JICARILLA_APACHE,JICARILLA_APACHE,jica1244
1392,0,0,-0.7452116910740274,Southwest Asia,AA.SEMITIC.SYRIAC_2,SYRIAC_2,clas1252
1396,0,0,-1.3604809897791748,Africa,Aus.PAMA_NYUNGAN.YITHA_YITHA,YITHA_YITHA,
1400,1,1,-0.8008083144509985,East Asia,Pay.PAYAGUA.PAYAGUA,PAYAGUA,
1412,0,0,0.6243184647786949,Central Eurasia,Jap.JAPANESE.TOKYO_JAPANESE,TOKYO_JAPANESE,nucl1643
1415,1,0,-0.7544777949701893,Europe,Aus.PAMA_NYUNGAN.BIRRDHAWAL,BIRRDHAWAL,
1420,1,1,0.575208114129037,North America,Mus.MUSKOGEAN.MIKASUKI,MIKASUKI,mika1239
1474,1,1,0.7234657764676267,South America,Pan.PANOAN.YAMINAWA,YAMINAWA,yami1256
1495,0,0,0.7716495167276683,Europe,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1511,1,1,0.5928137115317446,Africa,AA.WEST_CHADIC.KANO,KANO,haus1257
1517,0,0,0.715126282961081,Africa,IE.ROMANCE.FRENCH,FRENCH,stan1290
1522,1,0,0.5715016725705723,Africa,UA.AZTECAN.NAHUATL_XOCHIATIPAN,NAHUATL_XOCHIATIPAN,
1544,1,0,0.4000787504915779,Europe,IE.SLAVIC.OLD_CHURCH_SLAVONIC,OLD_CHURCH_SLAVONIC,chur1257
1555,1,1,0.7466310362080314,Southwest Asia,May.MAYAN.TZOTZIL_ZINACANTAN_1600,TZOTZIL_ZINACANTAN_1600,
1570,0,1,0.6817683089348984,South Asia,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1574,0,0,-2.932012210568226,Southwest Asia,AA.SEMITIC.AKKADIAN,AKKADIAN,akka1240
1619,1,0,0.0331410362035684,Europe,AA.SEMITIC.AKKADIAN_2,AKKADIAN_2,akka1240
1621,1,0,0.4964462310116612,Europe,AA.SEMITIC.AKKADIAN_2,AKKADIAN_2,akka1240
1654,1,0,0.7568237504938095,Africa,UA.AZTECAN.NAHUATL_TLALNEPANTLA_TAMAZUNCHALE,NAHUATL_TLALNEPANTLA_TAMAZUNCHALE,
1677,1,0,-2.6076985742025607,Southwest Asia,AA.SEMITIC.AKKADIAN_2,AKKADIAN_2,akka1240
1734,0,0,-2.561368054721751,South America,OM.ZAPOTECAN.ZAPOTEC_1578,ZAPOTEC_1578,
1869,0,1,0.7095666206233839,Africa,NC.DEFOID.YORUBA,YORUBA,yoru1245
1908,1,0,-0.0595200027580501,East Asia,Jap.JAPANESE.TOKYO_JAPANESE,TOKYO_JAPANESE,nucl1643
1966,0,0,0.7484842569872637,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1972,0,0,0.7466310362080314,North America,UA.AZTECAN.NAHUATL_SAN_PEDRO_JICORA,NAHUATL_SAN_PEDRO_JICORA,
1974,0,0,0.7642366336107389,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1978,0,0,0.7419979842599504,East Asia,ST.CHINESE.CANTONESE,CANTONESE,yuec1235
1983,0,0,-0.7081472754893801,Southwest Asia,TC.TIMOTE_CUICA.CUICA,CUICA,
1985,0,0,-1.047286678088904,Southwest Asia,UA.AZTECAN.NAHUATL_AMILCINGO_ZACUALPAN,NAHUATL_AMILCINGO_ZACUALPAN,
1993,1,0,-1.6347576651055655,Europe,Aus.PAMA_NYUNGAN.GUYAMBAL,GUYAMBAL,
1994,0,0,0.744777815428799,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2000,0,0,0.7123464517922324,Africa,NC.DEFOID.OKA,OKA,yoru1245
2003,1,0,0.6947408543895249,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2006,0,0,0.7484842569872637,Africa,NC.DEFOID.YORUBA,YORUBA,yoru1245
2009,1,0,-1.8200797430288027,Europe,Arw.NORTHERN_ARAWAKAN.GUINAU,GUINAU,
2010,1,0,0.0702054517882158,Europe,Aus.PAMA_NYUNGAN.YITHA_YITHA,YITHA_YITHA,
2011,0,0,0.6678691530906555,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2016,1,0,-0.2365025871747415,Southwest Asia,TC.TIMOTE_CUICA.MIRRIPU_TIMOTE,MIRRIPU_TIMOTE,
2021,1,0,0.6864013608829793,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2023,1,0,-0.179052743018538,Africa,Tup.TUPI_GUARANI.GUARANI_ANTIGO,GUARANI_ANTIGO,
2038,1,0,-0.1521810417196686,Europe,AA.SEMITIC.OGADEN_ARABIC,OGADEN_ARABIC,
2051,0,0,0.794814776468073,Southeast Asia,Hur.HUARPE.MILLCAYAC,MILLCAYAC,
2052,0,0,0.7670164647795874,Africa,NC.DEFOID.OKA,OKA,yoru1245
2054,0,0,0.6984472959479897,Africa,NC.DEFOID.YORUBA,YORUBA,yoru1245
2061,0,1,0.5891072699732798,Africa,NC.DEFOID.YORUBA,YORUBA,yoru1245
2069,1,1,0.7457044258184151,Africa,May.MAYAN.CHOLTI,CHOLTI,
