entry_id,entry_name,year_from,year_to,region_id,world_region
863,Orphism,-550,450,132,Europe
866,Taigu School,1762,1950,1030,East Asia
867,Nyingma Treasure,1200,1500,96,South Asia
869,Sichuan Esoteric Buddhist Cult,855,1279,1031,East Asia
870,Postsocialist Mongolian Buddhism,1990,2020,1032,Central Eurasia
871,Spiritualism,1848,2020,1033,North America
873,The Branch Davidians,1962,1993,1035,North America
877,The International Network of Engaged Buddhists - INEB,1989,2022,1542,Southeast Asia
879,Free Methodist Church,1860,2020,1103,Africa
880,Egyptian Salafism (inluding North Africa and West Asia),1870,2015,1038,Southwest Asia
882,Orphism,-450,425,1040,Europe
883,Catholics in the People's Republic of China (PRC),1949,2020,1132,Central Eurasia
884,Sub Saharan Africa Pentecostalism,1907,2022,1041,Africa
885,Contemporary West African Vodun,-1960,2022,1071,Africa
886,Pushtimarg (The Path of Grace) in the UK and Gujarat,1990,2020,1042,Europe
887,Postsocialist Mongolian Shamanism,1990,2020,1043,Central Eurasia
888,Céli Dé monks,780,900,1044,Europe
891,Peruvian Mormons,1956,2020,1047,South America
892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism,1960,2020,1018,North America
893,Sethian Gnostic,100,400,1048,Europe
894,Universal Fellowship of Metropolitan Community Churches,1968,2020,1049,North America
896,Sannō Shintō,800,1571,1050,East Asia
897,Gaengjeongyudo,1928,2020,717,East Asia
898,Rastafari of Jamaica,1930,2020,1067,North America
899,Nahdlatul Ulama (NU),1926,2020,1053,Southeast Asia
900,Pharisees,-150,70,485,Southwest Asia
902,British Isles: Christian,300,500,992,Europe
903,The Buddhist community on Mount Lu during early medieval China,350,450,1055,East Asia
904,Euboea/Central Macedonia: Nicaean-Chalcedonian Christianity,397,500,997,Europe
905,Euboea/Central Macedonia: Constantinopolitan Chalcedonian Christianity,1260,1302,997,Europe
906,The Church of England,1963,2020,725,Europe
908,Sino-Christian Theology,1980,2020,1119,East Asia
910,Christian Base Community movement,1968,1998,1062,North America
911,Italy: Roman Catholic Christianity,1260,1302,991,Europe
912,Ganden Monastery (Dga' ldan),1409,1959,1063,East Asia
914,Tariqa Shadhiliyya,1258,2020,1064,Africa
915,Protestantism welcoming People with Disabilities,2000,2020,1065,North America
916,Italy: Roman Catholic Christianity II,1530,2017,991,Europe
917,British Isles: Predominantly Celtic Polytheism,-500,-50,992,Europe
918,Fangshi,-475,220,10,East Asia
919,Catholicism in contemporary Croatia,1995,2020,1068,Europe
921,Bhils,1700,2020,1070,South Asia
922,British Isles: Mixed Roman and British Polytheism,-50,400,992,Europe
923,British Isles: Introduction of Early Christianity through the End of Columban/Irish Christianity,200,700,992,Europe
924,Muridiyya of Senegal,1853,2022,1072,Africa
925,Rabbinic Judaism (Babylonia),220,650,1073,Southwest Asia
926,Ladakhi Buddhism,842,2020,1074,South Asia
927,Zealots,0,74,485,Southwest Asia
928,The Ghost Dance Movement and the Lakota Sioux,1860,1910,1075,North America
929,Drikung Kagyu,1143,2020,1076,South Asia
931,The Society of Jesus (Jesuits) in Britain,1580,2020,1078,Europe
933,Marcionites,144,1000,1080,Europe
934,Mongolian Buddhism during the Revolutionary Period,1911,1940,1081,Central Eurasia
935,Nigerian Pentecostalism,1910,2020,1082,Africa
937,Vestal Virgins,-800,394,872,Europe
938,Ugarit,-1600,-1185,1084,Southwest Asia
939,Goodenough and Fergusson Islanders,1875,1900,1085,Oceania-Australia
940,Julio-Claudian Imperial Cult,-31,68,132,Europe
941,Chan Buddhists in early Qing period,1600,1700,1087,East Asia
942,African Methodist Episcopal Church,1816,2020,1095,Africa
943,Moravian Missionaries in Nunatsiavut,1752,2020,1091,North America
944,Mohyla's Ukrainian Church,1620,1700,1101,Europe
945,Vasco-Aquitanian Religion,100,400,1106,Europe
946,Nyingma (rnying ma),700,1959,1129,South Asia
948,Christianity in Ephesus,120,300,1094,Southwest Asia
949,The Church of All Worlds,1963,2020,1096,North America
950,The Religious Society of Friends,1652,2020,1125,Africa
952,Ethiopian Jews,1980,2020,1104,Southwest Asia
953,Sachchai,1975,2020,1140,South Asia
955,British Isles: Augustinian/Roman Christianity,600,800,992,Europe
956,Iron Age Britain: Mid to Late Pre-Roman Iron Age,-500,-55,992,Europe
957,Spartan Religion,-800,-300,1142,Europe
958,Society of Jesus,1540,1773,498,Europe
959,Iron Age Britain: Romano-Celtic Era,-55,286,992,Europe
960,Bön (Bon),1000,2020,1107,South Asia
961,Romanian Orthodox Church,1885,2020,1108,Europe
962,Amdo Gelukpa,1400,2000,1109,East Asia
963,The Knights Templar,1119,1312,1110,Europe
964,Baul Fakirs of Bengal,1800,2020,1111,South Asia
965,Pachomian Monasticism,323,548,1112,Africa
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,",1318,2020,1113,Central Eurasia
967,Unitarian Universalism,1825,2020,1123,Europe
968,"Anabaptist Mennonites in North America, 1683-2021",1683,2021,1115,North America
969,Adi Dravida/Valluva Sakya Buddhism,1891,1940,1117,South Asia
970,Cult of Isis (Mysteries of Isis),-323,500,132,Europe
971,Gāṇapatya,500,2020,1135,South Asia
972,Nestorian Christianity,431,1500,1121,Southwest Asia
