entry_id,violent_external,extra_ritual_group_markers,year_scaled,world_region,tip_name
1781,0,0,0.7900383288874908,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1791,1,0,-0.0168037189114768,Southwest Asia,AA.SEMITIC.IRAQ_MUSLIM_BAGHDAD_ARABIC
1820,0,0,0.8002515193659587,Africa,NC.DEFOID.YORUBA
1829,0,0,0.8058223505360321,Africa,NC.DEFOID.YORUBA
1835,0,1,0.7705404197922338,Africa,NC.DEFOID.YORUBA
1845,0,1,-0.0929384115691469,Europe,IE.GERMANIC.DANISH
1869,0,1,0.7538279262820134,Africa,NC.DEFOID.YORUBA
1872,0,1,0.7696119479305549,Africa,NC.DEFOID.YORUBA
1897,0,1,0.7733258353772705,Africa,NC.DEFOID.YORUBA
1903,1,1,-0.3417688704990932,Southwest Asia,AA.SEMITIC.SYRIAN_ARABIC
1904,1,1,0.633126584263756,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1908,1,0,-0.0168037189114768,East Asia,Jap.JAPANESE.JAPANESE
1938,0,0,0.6795501773477012,Southwest Asia,
1940,0,1,0.7723973635155916,Africa,NC.DEFOID.YORUBA
1943,0,1,0.8095362379827478,South America,IE.ROMANCE.SPANISH
1961,0,0,0.8095362379827478,Africa,NC.DEFOID.YORUBA
1966,0,0,0.7928237444725275,Africa,NC.DEFOID.YORUBA
1972,0,0,0.7909668007491697,North America,
1974,0,0,0.8086077661210689,Africa,IE.GERMANIC.ENGLISH
1978,0,0,0.7863244414407752,East Asia,ST.CHINESE.CANTONESE
1983,0,0,-0.6667340220867096,Southwest Asia,IE.GREEK.GREEK_ANCIENT
1985,0,0,-1.0065547234611885,Southwest Asia,AA.SEMITIC.STANDARD_ARABIC
1993,1,0,-1.5952058837656138,Europe,IE.GREEK.GREEK_ANCIENT
1994,0,0,0.7891098570258118,Africa,IE.GERMANIC.ENGLISH
2000,0,0,0.7566133418670502,Africa,NC.DEFOID.YORUBA
2003,1,0,0.738972376495151,Africa,IE.GERMANIC.ENGLISH
2006,0,0,0.7928237444725275,Africa,NC.DEFOID.YORUBA
2009,1,0,-1.7809002561013945,Europe,IE.GREEK.GREEK_ANCIENT
2010,1,1,0.1131823417235697,Europe,IE.GREEK.GREEK_ANCIENT
2011,0,0,0.7120466925064628,Africa,IE.GERMANIC.ENGLISH
2016,1,1,-0.1941418444921475,Southwest Asia,AA.SEMITIC.STANDARD_ARABIC
2021,1,0,0.7306161297400409,Africa,IE.GERMANIC.ENGLISH
2023,1,0,-0.1365765890680554,Africa,AA.SEMITIC.STANDARD_ARABIC
2038,1,0,-0.1096509050793672,Europe,
2048,1,1,-0.3167001302337628,Africa,AA.SEMITIC.STANDARD_ARABIC
2051,0,0,0.8392473375564726,Southeast Asia,AuA.VIET_MUONG.VIETNAMESE
2052,0,0,0.8113931817061055,Africa,NC.DEFOID.YORUBA
2054,0,0,0.7426862639418667,Africa,NC.DEFOID.YORUBA
2061,0,1,0.633126584263756,Africa,NC.DEFOID.YORUBA
2069,1,1,0.7900383288874908,Africa,AA.SEMITIC.STANDARD_ARABIC
2070,0,0,0.8216063721845736,Africa,IE.GERMANIC.ENGLISH
2074,0,0,0.7306161297400409,Africa,AA.SEMITIC.STANDARD_ARABIC
2084,0,1,0.8002515193659587,Africa,AA.SEMITIC.STANDARD_ARABIC
2089,1,1,0.7946806881958853,Africa,AA.SEMITIC.STANDARD_ARABIC
2104,0,0,0.5402793980958656,Africa,AA.SEMITIC.STANDARD_ARABIC
2111,1,0,-0.3881924635830384,Africa,
2114,0,0,0.6674800431458754,Africa,AA.SEMITIC.STANDARD_ARABIC
2116,0,0,0.6368404717104716,Africa,AA.SEMITIC.STANDARD_ARABIC
2122,0,0,0.7983945756426009,Africa,AA.SEMITIC.STANDARD_ARABIC
2126,0,0,0.8039654068126744,Africa,NC.DEFOID.YORUBA
2133,0,0,0.7473286232502612,Africa,IE.GERMANIC.ENGLISH
2138,1,0,0.7408293202185089,Africa,IE.GERMANIC.ENGLISH
2139,1,0,0.8002515193659587,Africa,IE.GERMANIC.ENGLISH
2141,1,0,0.8206779003228946,Africa,AA.SEMITIC.STANDARD_ARABIC
2146,0,0,0.6981196145812792,East Asia,Jap.JAPANESE.JAPANESE
2147,1,0,0.1029691512451017,Africa,AA.SEMITIC.STANDARD_ARABIC
2149,0,1,-0.731727052404233,Europe,AA.SEMITIC.BIBLICAL_HEBREW
2160,1,1,-0.8060048013385452,Southwest Asia,IE.GREEK.GREEK_ANCIENT
2178,0,1,0.7426862639418667,Africa,NC.DEFOID.YORUBA
2194,0,0,0.7742543072389494,Africa,IE.GERMANIC.ENGLISH
2203,0,0,-1.4800753729174296,East Asia,ST.CHINESE.OLD_CHINESE
2209,0,0,0.6721224024542699,Africa,IE.GERMANIC.ENGLISH
2210,0,1,0.8011799912276376,Africa,NC.DEFOID.YORUBA
2214,0,1,-0.4810396497509288,South America,
2228,1,0,0.7928237444725275,Africa,IE.GERMANIC.ENGLISH
2238,0,0,0.5402793980958656,Africa,AA.SEMITIC.STANDARD_ARABIC
2241,1,1,-1.7344766630174493,Europe,IE.ROMANCE.LATIN
2244,1,1,0.0797573547031291,Europe,IE.GREEK.GREEK_ANCIENT
2245,1,1,-0.4327591129436258,Europe,AA.SEMITIC.STANDARD_ARABIC
2246,1,0,-0.2777043120432488,Africa,AA.SEMITIC.STANDARD_ARABIC
2247,1,1,-0.4374014722520203,Africa,AA.SEMITIC.STANDARD_ARABIC
2248,0,0,0.4762148396400212,Africa,AA.SEMITIC.STANDARD_ARABIC
2256,0,0,0.5402793980958656,Africa,AA.SEMITIC.STANDARD_ARABIC
2266,0,0,-1.5682801997769256,East Asia,ST.CHINESE.OLD_CHINESE
2271,1,0,0.7853959695790962,Africa,NC.DEFOID.YORUBA
2273,0,1,0.1605344066691938,East Asia,
2274,0,0,0.7445432076652244,Africa,NC.DEFOID.YORUBA
2278,0,0,0.5402793980958656,Africa,AA.SEMITIC.STANDARD_ARABIC
2279,0,0,0.7166890518148573,Africa,
2283,0,0,-0.7753652299031414,East Asia,ST.CHINESE.MIDDLE_CHINESE
2286,0,1,-4.287774282634436,South America,
2290,0,0,0.0760434672564135,Africa,AA.SEMITIC.STANDARD_ARABIC
2297,1,0,0.0509747269910831,Europe,IE.GERMANIC.ENGLISH
2299,1,0,-0.0168037189114768,Southwest Asia,AA.SEMITIC.STANDARD_ARABIC
2308,1,0,-0.3779792731045705,Europe,AA.SEMITIC.STANDARD_ARABIC
2309,1,1,-0.3361980393290198,Europe,AA.SEMITIC.STANDARD_ARABIC
2312,1,0,-2.7093721177802985,Africa,IE.GERMANIC.ENGLISH
2313,0,0,-0.4810396497509288,Central Eurasia,ST.CHINESE.MIDDLE_CHINESE
2320,0,1,-0.5738868359188193,East Asia,ST.CHINESE.MIDDLE_CHINESE
2321,0,0,0.8113931817061055,East Asia,ST.CHINESE.MIDDLE_CHINESE
2322,1,1,-0.4244028661885157,Southwest Asia,AA.SEMITIC.STANDARD_ARABIC
2324,0,1,0.7909668007491697,Africa,AA.SEMITIC.STANDARD_ARABIC
2325,0,0,-1.223817139094052,East Asia,ST.CHINESE.MIDDLE_CHINESE
2327,0,0,0.7259737704316463,Africa,NC.DEFOID.YORUBA
2328,0,0,0.8104647098444266,East Asia,ST.CHINESE.MIDDLE_CHINESE
2329,1,1,0.7603272293137658,Southeast Asia,AuA.VIET_MUONG.VIETNAMESE
2330,0,0,0.7194744673998941,Africa,NC.DEFOID.YORUBA
