entry_id,entry_name,answer_value,world_region_simple
626,Barama River Carib,1,Americas
625,Copper Inuit,1,Americas
624,The Roshaniyya,1,Asia
623,Diasporic American Hinduism,1,Americas
622,Miskito,1,Americas
621,Haitians,1,Americas
620,Papago,1,Americas
619,Gilyak,1,Europe
618,Nuxalk,1,Americas
616,Balinese,1,Asia
614,!Kung,1,Africa
613,Maori,1,Oceania-Australia
612,Marshallese,1,Oceania-Australia
611,Javanese,1,Asia
610,Somali,1,Africa
609,Tallensi,1,Africa
608,Kurd,1,Asia
607,Mohism,1,Asia
605,Burmese,1,Asia
604,Bambara,1,Africa
602,Amhara,1,Africa
600,Riffians,1,Africa
599,Lepcha,1,Asia
598,Masai,1,Africa
597,Confucianism - Eastern Zhou,1,Asia
564,Tribal Christianity (and allied castes) in the Himalayas,1,Asia
563,"Gaddi, a Hindu community of the Western Himalayas",1,Asia
562,Medieval Śrīvaiṣṇavism,1,Asia
595,Western Samoans,1,Oceania-Australia
594,Wolof,1,Africa
592,Veerashaivas,1,Asia
591,Koreans,1,Asia
590,Huayan School (Early Tang),1,Asia
589,Warrau,1,Americas
588,Nyakyusa,1,Africa
586,Kelantanese Thai Religion,1,Asia
582,Siamese (Central Thai),1,Asia
581,Mentawai (Rereiket),1,Asia
580,Nāth Sampradāya,1,Asia
578,Gond,1,Asia
577,Ganda,1,Africa
576,Kuy traditional religions,1,Asia
571,Abkhaz,1,Europe
570,Supreme Master Ching Hai World Society,1,Asia
569,Khalka Mongols,1,Europe
567,Gay and Lesbian Vaishnava Association (GALVA-108),1,Europe
565,Fellahin,1,Africa
557,Burusho,1,Asia
553,Andamanese,1,Asia
550,Iban,1,Asia
548,Tiwi,1,Oceania-Australia
546,Orokaiva,1,Oceania-Australia
545,Kapauku,1,Asia
543,Manus,1,Oceania-Australia
538,Yapese,1,Oceania-Australia
537,Ifugao,1,Asia
535,Pāśupatas,1,Asia
534,Roman Imperial Cult,1,Europe
533,Ainu,1,Europe
532,Gilyak,1,Europe
530,Ingalik,1,Americas
526,Hmong Christianity,1,Asia
525,Church of Jesus Christ of Latter-day Saints (modern),1,Africa
520,Cham Ahiér,1,Asia
519,Saulteaux,1,Americas
516,Bellacoola,1,Americas
515,Yurok,1,Americas
513,Yokuts,1,Americas
512,Klamath,1,Americas
511,Gros Ventre,1,Americas
510,Pawnee,1,Americas
502,Comanche,1,Americas
501,Chiricahua,1,Americas
499,Huvasupai,1,Americas
498,Papago,1,Americas
495,Goajiro,1,Americas
494,Cuna,1,Americas
493,Krishna Worship in North India - Modern Period,1,Asia
490,Guglielmites,1,Europe
487,Bribri,1,Americas
486,Church of Jesus Christ of Latter-day Saints (early),1,Americas
485,Sámi pre-Christian religion,1,Europe
484,Northern Irish Protestants,1,Europe
483,Northern Irish Roman Catholics,1,Europe
482,Miskito,1,Americas
481,Huichol,1,Americas
479,Mesopotamian city-state cults of the Early Dynastic periods,1,Asia
478,Early Indian Buddhism,1,Asia
477,Tractarian Movement,1,Europe
476,Cham Bani,1,Asia
472,Karma Kagyu or Kamtsang Kagyu,1,Asia
470,Archaic Spartan Cults,1,Europe
469,Won-Buddhism,1,Asia
460,Jivaro,1,Americas
456,The Essenes,1,Asia
451,Aymara,1,Americas
448,Nambicuara,1,Americas
442,Donatism,1,Africa
441,Worshipers of Śītalā,1,Asia
440,"Jain Digambara Tantra, Karnataka",1,Asia
439,Śaiva Magic,1,Asia
438,Aweikoma,1,Americas
437,Abipon,1,Americas
436,Mapuche,1,Americas
435,Mongol Religion,1,Asia
432,Tehuelche,1,Americas
430,Yahgan,1,Americas
424,Achaemenid Religion,1,Asia
423,Mediterranean,1,Europe
422,Demeter Cult,1,Europe
420,Swaminarayan Sampraday,1,Africa
419,The Worship of Jagannath in Puri (Odisha),1,Asia
418,Tikopia Religion,1,Europe
416,Edinoverie,1,Europe
415,Shaiva World Renouncers,1,Asia
406,Daoism,1,Asia
400,Singaporean Mega-Churches,1,Asia
395,International Society for Krishna Consciousness (ISKCON),1,Africa
392,Sikhism: Guru Hargobind to Guru Gobind Singh,1,Asia
390,Dasara,1,Asia
389,Iban traditional religion,1,Asia
387,Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya,1,Asia
386,Kapingamarangi,1,Americas
383,Varkaris,1,Asia
381,Sikhism: Guru Nanak to Guru Arjan,1,Asia
378,Bahinabai Chaudhari's Songs: A Performance Tradition in Maharashtra,1,Asia
374,Non-dual Śaiva Tantra,1,Asia
364,Chittagong Plain Buddhists,1,Asia
361,Classical Greek Religion,1,Europe
